MODEL_ID,MANUFACTURER_ID,MODEL_NAME
568,70,206 SW
569,70,307 SW
570,70,407 SW
571,70,Bipper
572,70,Expert
573,70,Partner
574,71,Porter
575,72,Firebird
576,72,Trans Sport
577,73,911
578,73,928
579,73,968
580,73,Cayman
581,73,Boxster
582,73,Cayenne
583,73,Carrera GT
584,74,Serie 300
585,74,Serie 400
586,75,19
587,75,Clio
588,75,Modus
589,75,Rapid
590,75,Espace
591,75,Kangoo
592,75,Laguna
593,75,Master
594,75,Megane
595,75,Nevada
596,75,Scenic
597,75,Spider
598,75,Trafic
599,75,Twingo
601,75,Safrane
602,75,Avantime
603,75,Messenger
604,75,Vel Satis
605,75,Grand Modus
606,75,Grand Espace
607,75,Grand Scénic
608,75,Kangoo Rapid
609,75,Master Maxi
610,76,Master
611,76,Maxity
612,76,Mascott
613,77,Phantom
614,77,Touring
615,77,Corniche
616,77,Park Ward
617,77,Flying Spur
618,77,Silver Dawn
619,77,Silver Spur
620,77,Silver Seraph
621,77,Silver Spirit
622,78,25
623,78,45
624,78,75
625,78,Mini
626,78,Tourer
627,78,100
628,78,200
629,78,400
630,78,600
631,78,800
632,78,Streetwise
633,79,9-3
634,79,9-5
635,79,900
636,79,9000
637,80,Inca
638,80,Leon
639,80,Altea
640,80,Arosa
641,80,Ibiza
642,80,Terra
643,80,Toledo
644,80,Cordoba
645,80,Alhambra
646,80,Altea XL
647,80,Marbella
648,80,Altea Freetrack
651,82,Fabia
652,82,Forman
653,82,Pickup
654,82,Superb
655,82,Felicia
656,82,Octavia
657,82,Praktik
658,82,Roomster
659,83,cabrio
660,83,fortwo
661,83,forfour
662,83,roadster
663,83,city-coupé
664,83,crossblade
667,85,Kyron
668,85,Musso
669,85,Actyon
670,85,Rexton
671,85,Rodius
673,85,Korando
674,85,Musso Sports
675,85,Actyon Sports
678,86,SVX
679,86,Justy
680,86,Legacy
681,86,Libero
682,86,Impreza
683,86,Outback
684,86,B9 Tribeca
685,86,Forester
686,86,G3X Justy
687,86,B9 Tribeca
689,87,SX4
690,87,Alto
691,87,X-90
692,87,Carry
693,87,Ignis
694,87,Jimny
695,87,Liana
696,87,Swift
697,87,Baleno
698,87,Vitara
699,87,Samurai
701,87,Grand Vitara
702,87,Grand Vitara
705,89,MR2
706,89,AYGO
707,89,RAV4
710,89,Auris
711,89,Camry
712,89,Hiace
713,89,Hilux
714,89,Paseo
715,89,Prius
716,89,Supra
717,89,Yaris
719,89,Celica
721,89,Picnic
722,89,Previa
723,89,4Runner
724,89,Avensis
725,89,Corolla
726,89,Starlet
727,89,Carina E
729,89,Land Cruiser
730,89,Yaris Verso
731,89,Avensis Verso
733,89,Corolla Verso
734,89,Landcruiser 90
735,89,Land Cruiser 100
736,90,Cerbera
737,90,Chimaera
738,90,Griffith
739,90,S Series
740,91,LT
741,91,Eos
742,91,Fox
743,91,Bora
744,91,Golf
745,91,Lupo
746,91,Polo
747,91,Taro
748,91,Caddy
749,91,Jetta
750,91,Vento
751,91,Passat
752,91,Sharan
753,91,Tiguan
754,91,Touran
755,91,Corroda
756,91,Crafter
757,91,Phaeton
758,91,Shuttle
759,91,Touareg
760,91,Multivan
761,91,Caravelle
762,91,CrossGolf
762,91,Golf Plus
763,91,California
764,91,New Beetle
765,91,Transporter
766,92,440
767,92,460
768,92,850
769,92,940
770,92,960
771,92,C30
772,92,C70
773,92,S40
774,92,S60
775,92,S70
776,92,S80
777,92,S90
778,92,V40
779,92,V50
780,92,V70
781,92,V90
782,92,XC70
783,92,XC90
784,92,V70 Cross Country
785,92,V70 Classic
786,93,roadster
